cell_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,DMSO_TF,Drug
file1_cell0,-0.028739779,-0.050167178,-0.009810424,-0.101587553,-0.017632136,-0.034306208,-0.016536424,-0.103867881,-0.02385246,-0.022865524,-0.04813518,-0.116252944,-0.094444352,-0.036590688,-0.08545018,-0.035008801,0.011107011776274243,-0.082201767,-0.029477115,-0.065931385,-0.039755796,-0.030012125,0.041860988753425525,-0.105975407,0.028113125,-0.02291272,0.067253366,-0.057021165,-0.035732522,0.007375405,-0.018331384,-0.004876233,0.050003066,-0.118223721,-0.012502611,-0.025912674,0.011687786057759234,0.013840547467720891,-0.002775175,-0.026828306,-0.065448832,0.022770860863349614,0.044009916,0.000290853,-0.087029594,0.009598359,-0.076954408,-0.00061003,0.057505554,0.000860739,1,nan
file1_cell1,-0.016495113,-0.035787223,-0.007352087,-0.076615432,-0.015761832,-0.017046507,0.004750576,-0.0832194,-0.012110482,-0.013223875,-0.01676965,-0.093357069,-0.057961395,-0.031278537,-0.048097345,-0.082591703,0.021046689,-0.040876497,-0.063103292,-0.099403332,0.031629728423773706,-0.037700624,-0.005685259,-0.107815852,-0.006357116,-0.035949269,0.050242153508518045,-0.048216244,-0.013433282,-0.020354338,-0.044904944,-0.00499318,0.008348669,-0.083271768,-0.038548512,0.012195261,0.002823447,0.016537636366045824,-0.008372117,0.002134711,-0.016758956,0.039034366,0.018486124964901426,-0.035785766,-0.04821085,0.027927957860336913,-0.030218485,-0.030590758,0.037636134,-0.01841936,1,nan
file1_cell10,-0.016555451,-0.036135176,-0.008647983,-0.075876763,-0.014881865,-0.01796402,0.003334642,-0.08308458,-0.011162318,-0.011379327,-0.015558781,-0.09315025,-0.05855941,-0.037893099,-0.05024071,-0.082769021,0.024832249009824947,-0.041673385,-0.063145512,-0.104946796,0.031179915,-0.034185868,-0.00419295,-0.095589344,-0.01296017,-0.042070469,0.054025507731797456,-0.053688718,-0.014376331,-0.023942283,-0.041133475,-0.007721822,0.007133535,-0.080179109,-0.028017508,0.009432425,0.001902647,0.007662058,-0.008921195,0.013789449038740006,-0.020692168,0.029339312017224995,0.016881906675659874,-0.028892881,-0.043790839,0.027193376,-0.024590486,-0.015440198,0.046062374,-0.01748229,1,nan
file1_cell100,-0.013550434,-0.086906254,-0.079721433,-0.083007243,0.002372135,-0.027814547,-0.153775114,-0.199905728,0.13831094336109187,0.083094398,-0.33608613,-0.236745194,-0.040768295,-0.598045605,-0.150692346,-0.645187591,0.042553458044934774,-0.033772623,-0.851342054,1.1383902606172227,0.1972066915727442,0.014702993805225358,0.29093045198465056,0.8518073960788494,-0.21468093,-1.23674257,-0.163511633,0.13970227720017067,0.265841935,1.2275490271544889,-2.31394475,2.7802011597609395,-1.95456705,-0.694033679,-0.290009938,-1.322543231,-0.561983567,-1.129123076,0.3680341540211556,0.053329868,0.6217048664374393,0.7810861717366767,-1.642690387,-1.37039973,0.6531171956720826,0.7447034326993295,0.744539831,1.6017106483762964,3.537657749969567,-0.221287833,1,nan
file1_cell1000,-0.042208296,-0.094344993,-0.018685447,-0.155251488,-0.038723574,-0.051929009,-0.043922937,-0.150056525,-0.101139379,-0.008261941,-0.038479025,-0.200969968,-0.144750704,-0.1444529,-0.004143506,-0.122619282,0.001328324,0.012234247276228403,0.001481321,-0.272827597,-0.132475199,-0.261690118,0.008933454,-0.151746384,-0.061432611,0.080502483,0.044569386,-0.036790574,0.21007666417310947,0.172586315,-0.053727156,-0.071222812,0.008415169,-0.016694932,-0.177607475,-0.012478646,0.16435127486619497,-0.204386293,-0.033871208,0.032428478,0.023143061409647437,-0.210615914,-0.169100765,0.042124614,0.2173698330089763,-0.395451388,0.40514902226209737,0.11571091377761832,0.21595386517310913,-0.124884306,1,nan
file1_cell1001,-0.028057496,-0.024905338,-0.016232804,-0.108019526,-0.03640998,-0.008356976,-0.027116011,-0.122957047,-0.026385386,-0.018804739,-0.063584451,-0.172296905,-0.057904056,-0.009133184,-0.073874854,-0.075720128,-0.050289957,-0.008822616,-0.038887565,-0.209307103,0.075335887,0.074210274,-0.055297829,-0.149729601,-0.034441197,0.080450605,0.15473472764750962,-0.182635749,0.059774439,0.062803765,-0.11576173,-0.176981729,-0.006971005,0.00871421,0.128178142,-0.016516046,-0.002935088,0.021263945,-0.099423304,-0.057448912,-0.168102703,0.012049751424851627,-0.394559617,-0.153449829,-0.100954901,0.001581397,-0.338467874,0.16499347674249412,-0.115170738,0.074046843,1,nan
file1_cell1002,-0.099697199,-0.190740217,0.023114081258742085,-0.088707499,-0.006169284,0.015614529316604956,0.086880287,0.29605662617120543,0.16742457743205433,0.071856152,-0.269184587,-0.108418361,-0.130651277,-0.126628267,-0.30708663,-0.223170063,-0.062957386,0.016279453377531814,0.34547046770391215,-0.089648582,-0.393892235,0.5275046436737535,-0.086050592,-0.018727322,-0.42620657,-0.786383519,-0.165812538,-0.134801907,-0.048061893,0.098907999,0.8837869232603063,0.10833993875072831,-0.860202038,-0.407277746,-0.491463959,0.098840966,0.502073183,0.1545614235591065,-0.108716639,0.3676568798430124,-0.268645412,-0.449657633,-0.694793339,0.033830936,1.6013558879762237,0.6771899532850231,-0.122756315,-0.897350613,2.4659242301976345,0.3627562957421146,1,nan
file1_cell1003,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335079650497,-0.02965818,-0.043523173,-0.071280694,0.020874204439025105,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717674784,0.006813522,-0.02289874,-0.027995479,0.015647064058463687,-0.016011727,-0.00985547,0.027433458,-0.008681521,1,nan
file1_cell1004,-0.022451411,-0.037868911,-0.00835409,-0.07667343,-0.014037383,-0.025281,-0.01204883,-0.078461419,-0.018976912,-0.017035689,-0.033204273,-0.08646022,-0.06994733,-0.025269056,-0.059530186,-0.027408059,0.008679349,-0.053369761,-0.020335222,-0.045367749,-0.025014593,-0.024729786,0.026353712114428596,-0.077237429,0.017886956,-0.009891166,0.047612678804823054,-0.042415843,-0.024021907,0.006537142,-0.014335127,-0.003370326,0.032174544,-0.081524851,-0.012601844,-0.017215766,0.005475692,0.00374072,-0.004612248,-0.01621249,-0.048198422,0.012150746244336975,0.030469624,-0.002531711,-0.05826115,0.001363473,-0.049755821,-0.001279568,0.031032643082774616,0.000932401,1,nan
file1_cell1005,-0.052419574,-0.099250576,-0.058085334,-0.09155189,0.21750311494096788,-0.092145654,-0.023973291,-0.161406773,-4.41E-05,-0.033861094,-0.052597389,-0.141799856,-0.002517931,-0.021265072,-0.097728249,-0.031035618,0.12376781122914035,-0.049103083,-0.179102427,-0.338334085,0.085093264,-0.036470153,0.15601328941667494,-0.330076282,0.3615255820768737,0.20955314977864445,0.2976185938916898,-0.064738425,0.13358529085859316,0.20853246974637393,-0.026008212,-0.255004853,0.30074149433628705,-0.216483521,-0.044268125,-0.289072834,-0.122503654,0.027924695,0.09847892,0.17484823728132207,-0.595068858,0.16254123456124106,0.4930679883545955,0.32652793737458286,0.5044486742651012,-0.709703426,-0.000422995,0.004113125,0.19259957758221555,0.078997057,1,nan
